# 2026-asicsmeta-full-1.mp4 · Face + Person · litert_npu
# passages=312 movedThrough=46 captured=33 chunks=14
# a track is one continuous sighting, not one person — bystanders are tracked, chunk boundaries split a runner in two, and there is no re-identification
chunk,track,firstUs,lastUs,durationUs,frames,firstX,firstY,lastX,lastY,velX,velY,speed,directionDeg,direction,displacement,closestToCentre,meanHeight,captured,photos
1,1,5066777,5066777,0,1,0.8875,0.2639,0.8875,0.2639,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4538,0.3167,0,0
1,2,5066777,5066777,0,1,0.1875,0.0806,0.1875,0.0806,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5231,0.1389,0,0
1,3,5066777,5066777,0,1,0.2641,0.1083,0.2641,0.1083,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4572,0.1278,0,0
1,4,5066777,5066777,0,1,0.3445,0.1556,0.3445,0.1556,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3779,0.2056,0,0
1,5,5066777,5066777,0,1,0.0844,0.1000,0.0844,0.1000,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5768,0.1111,0,0
1,11,5866777,5866777,0,1,0.4180,0.1847,0.4180,0.1847,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3258,0.2639,0,0
1,6,5866777,6000111,133334,2,0.7172,0.2889,0.6633,0.2875,0.0000,0.0000,0.0000,0.0,static,0.0539,0.2680,0.4875,1,1
1,10,5866777,6000111,133334,2,0.1867,0.0861,0.1891,0.0861,0.0000,0.0000,0.0000,0.0,static,0.0023,0.5177,0.1278,0,0
1,7,5866777,7466888,1600111,8,0.2656,0.1056,0.2703,0.1222,0.0000,0.0000,0.0000,0.0,static,0.0173,0.4413,0.1389,0,0
1,8,5866777,7466888,1600111,8,0.3461,0.1486,0.3477,0.1556,0.0000,0.0000,0.0000,0.0,static,0.0071,0.3735,0.2080,0,0
1,9,5866777,7466888,1600111,9,0.0906,0.1028,0.0859,0.0986,0.0000,0.0000,0.0000,0.0,static,0.0063,0.5704,0.1090,0,0
