# 2026-asicsmeta-full-1.mp4 · Face · litert_npu
# passages=19 movedThrough=5 likelyRunner=0 captured=8 chunks=3
# a track is one continuous sighting, not one person — bystanders are tracked, chunk boundaries split a runner in two, and there is no re-identification
chunk,track,firstUs,lastUs,durationUs,frames,firstX,firstY,lastX,lastY,velX,velY,speed,directionDeg,direction,displacement,closestToCentre,meanHeight,movedThrough,likelyRunner,captured,photos
1,1,5066777,5066777,0,1,0.9078,0.1361,0.9078,0.1361,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5466,0.0389,0,0,0,0
1,3,5866777,6000111,133334,2,0.7211,0.0944,0.6711,0.0778,-0.1875,-0.0625,0.1976,198.4,static,0.0527,0.4556,0.0611,0,0,1,1
1,2,5866777,7466888,1600111,7,0.1953,0.0417,0.1914,0.0417,0.0023,0.0000,0.0023,0.0,static,0.0039,0.5504,0.0381,0,0,0,0
1,4,6400111,6533444,133333,2,0.4477,0.0736,0.3211,0.0542,-0.4746,-0.0729,0.4802,188.7,R→L,0.1280,0.4296,0.0889,1,0,1,2
1,5,7466888,7466888,0,1,0.0875,0.0806,0.0875,0.0806,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5883,0.0389,0,0,0,0
1,6,8133555,8666888,533333,5,0.0875,0.0806,0.1930,0.0389,0.1044,-0.0417,0.1124,338.2,L→R,0.1134,0.5525,0.0367,1,0,0,0
2,1,1066666,1066666,0,1,0.5453,0.0611,0.5453,0.0611,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4412,0.0667,0,0,1,1
2,2,4266777,4266777,0,1,0.0828,0.0806,0.0828,0.0806,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5916,0.0389,0,0,0,0
2,3,6400111,7066777,666666,3,0.0828,0.0806,0.0828,0.0806,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5916,0.0389,0,0,0,0
2,4,8000222,8533555,533333,5,0.8727,0.1361,0.5180,0.0694,-0.7705,-0.1081,0.7781,188.0,R→L,0.3609,0.4309,0.1022,1,0,1,3
2,5,8133555,9733555,1600000,8,0.0828,0.0806,0.0875,0.0806,0.0059,0.0000,0.0059,0.0,static,0.0047,0.5883,0.0389,0,0,0,0
2,6,8666888,8666888,0,1,0.2813,0.0639,0.2813,0.0639,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4879,0.1556,0,0,1,1
2,7,9333555,9333555,0,1,0.7055,0.1083,0.7055,0.1083,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4423,0.0389,0,0,0,0
3,1,2266666,2266666,0,1,0.3727,0.0750,0.3727,0.0750,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4437,0.0389,0,0,0,0
3,2,2400000,4000111,1600111,6,0.0828,0.0806,0.0828,0.0806,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5883,0.0389,0,0,0,0
3,3,2533333,3333333,800000,4,0.7539,0.1083,0.4828,0.0528,-0.3580,-0.1124,0.3753,197.4,R→L,0.2767,0.4247,0.0528,1,0,1,1
3,4,3600111,3600111,0,1,0.2828,0.0389,0.2828,0.0389,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5097,0.0778,0,0,1,1
3,5,5200111,7200111,2000000,7,0.0852,0.0806,0.0828,0.0806,-0.0039,0.0000,0.0039,180.0,static,0.0023,0.5899,0.0389,0,0,0,0
3,6,6533444,7333555,800111,5,0.8438,0.1528,0.4563,0.0931,-0.6052,-0.1672,0.6279,195.4,R→L,0.3921,0.3688,0.0694,1,0,1,3
