# run4mins.mp4 · boxes in the other files are normalised on an upright detect bitmap of detectW×detectH
chunk,video,sourceOffsetUs,recordedAtEpochMs,framesSampled,sampleIntervalMs,detectW,detectH,rotationDeg
1,import_001.mp4,80000,1788233044640,72,120,640,1137,90
2,import_002.mp4,8720000,1788233045144,72,120,640,1137,90
3,import_003.mp4,17360000,1788233045695,68,120,640,1137,90
4,import_004.mp4,25520000,1788233046259,64,120,640,1137,90
5,import_005.mp4,33200000,1788233046833,64,120,640,1137,90
6,import_006.mp4,40880000,1788233047460,68,120,640,1137,90
7,import_007.mp4,49040000,1788233048044,64,120,640,1137,90
8,import_008.mp4,56720000,1788233048627,68,120,640,1137,90
9,import_009.mp4,64880000,1788233050227,64,120,640,1137,90
10,import_010.mp4,72560000,1788233053724,64,120,640,1137,90
11,import_011.mp4,80240000,1788233058179,64,120,640,1137,90
12,import_012.mp4,87920000,1788233061648,64,120,640,1137,90
13,import_013.mp4,95600000,1788233067248,64,120,640,1137,90
14,import_014.mp4,103280000,1788233071326,64,120,640,1137,90
15,import_015.mp4,110960000,1788233076166,68,120,640,1137,90
16,import_016.mp4,119120000,1788233081504,68,120,640,1137,90
17,import_017.mp4,127280000,1788233086591,64,120,640,1137,90
18,import_018.mp4,134960000,1788233091682,64,120,640,1137,90
19,import_019.mp4,142640000,1788233095459,60,120,640,1137,90
20,import_020.mp4,149840000,1788233100230,60,120,640,1137,90
21,import_021.mp4,157040000,1788233104788,64,120,640,1137,90
22,import_022.mp4,164720000,1788233108855,60,120,640,1137,90
23,import_023.mp4,171920000,1788233112926,64,120,640,1137,90
24,import_024.mp4,179600000,1788233117220,60,120,640,1137,90
25,import_025.mp4,186800000,1788233122304,60,120,640,1137,90
26,import_026.mp4,194000000,1788233126115,64,120,640,1137,90
27,import_027.mp4,201680000,1788233130916,64,120,640,1137,90
28,import_028.mp4,209360000,1788233135513,64,120,640,1137,90
29,import_029.mp4,217040000,1788233139266,60,120,640,1137,90
30,import_030.mp4,224240000,1788233146381,64,120,640,1137,90
31,import_031.mp4,231920000,1788233152709,64,120,640,1137,90
32,import_032.mp4,239600000,1788233157828,60,120,640,1137,90
33,import_033.mp4,246800000,1788233162701,64,120,640,1137,90
34,import_034.mp4,254480000,1788233167868,64,120,640,1137,90
35,import_035.mp4,262160000,1788233173714,64,120,640,1137,90
36,import_036.mp4,269840000,1788233179535,33,120,640,1137,90
