# run4mins.mp4 · Face + Person · litert_npu
# passages=103 movedThrough=76 likelySubject=40 captured=32 chunks=30
# a track is one continuous sighting, not one person — bystanders are tracked, chunk boundaries split a subject in two, and there is no re-identification
chunk,track,firstUs,lastUs,durationUs,frames,firstX,firstY,lastX,lastY,velX,velY,speed,directionDeg,direction,displacement,closestToCentre,meanHeight,movedThrough,likelySubject,captured,photos
3,1,22640000,23720000,1080000,7,0.8273,0.4274,0.5313,0.4099,-0.2584,-0.0098,0.2586,182.2,R→L,0.2966,0.0954,0.0263,1,0,0,0
3,3,23840000,23840000,0,1,0.9664,0.5207,0.9664,0.5207,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4669,0.1478,0,0,0,0
3,4,23840000,23840000,0,1,0.7586,0.5163,0.7586,0.5163,0.0000,0.0000,0.0000,0.0,static,0.0000,0.2591,0.1706,0,0,0,0
3,2,23840000,25040000,1200000,11,0.5063,0.5185,0.0758,0.5418,-0.6364,0.0737,0.6406,173.4,R→L,0.4311,0.0195,0.3544,1,1,1,3
4,5,26240000,26840000,600000,4,0.7336,0.4477,0.5438,0.4336,-0.2344,-0.0389,0.2376,189.4,R→L,0.1904,0.0795,0.0220,1,0,0,0
4,6,27440000,28400000,960000,6,0.3586,0.4195,0.0250,0.3997,-0.3939,-0.0606,0.3986,188.7,R→L,0.3342,0.1627,0.0257,1,0,0,0
5,7,33440000,34520000,1080000,6,0.9414,0.4398,0.6578,0.4099,-0.3282,-0.0412,0.3308,187.2,R→L,0.2852,0.1817,0.0273,1,0,0,0
5,8,34640000,35720000,1080000,10,0.6102,0.5202,0.0867,0.5704,-0.5759,0.0169,0.5761,178.3,R→L,0.5258,0.0235,0.3428,1,1,1,3
5,10,38240000,38240000,0,1,0.9102,0.4125,0.9102,0.4125,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4194,0.0299,0,0,0,0
5,9,38000000,40040000,2040000,17,0.9406,0.5062,0.0867,0.4938,-0.6136,-0.0671,0.6172,186.2,R→L,0.8540,0.0166,0.3552,1,1,1,6
7,11,51200000,52640000,1440000,10,0.9727,0.4336,0.6297,0.3927,-0.2578,-0.0592,0.2645,192.9,R→L,0.3454,0.1683,0.0268,1,0,0,0
7,12,52280000,53840000,1560000,11,0.7437,0.5150,0.1297,0.5136,-0.4494,0.0389,0.4511,175.1,R→L,0.6141,0.0065,0.3439,1,1,1,3
8,13,62960000,63440000,480000,4,0.9750,0.4217,0.7977,0.4055,-0.3369,-0.0339,0.3386,185.7,R→L,0.1781,0.3123,0.0295,1,0,0,0
8,14,63320000,64640000,1320000,11,0.8477,0.5264,0.1375,0.4872,-0.7079,-0.1234,0.7186,189.9,R→L,0.7112,0.0104,0.3395,1,1,1,3
8,15,64760000,64760000,0,1,-0.0117,0.3412,-0.0117,0.3412,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5358,0.0563,0,0,0,0
9,16,70640000,72560000,1920000,17,0.9445,0.5290,0.1117,0.5418,-0.5697,0.0866,0.5762,171.4,R→L,0.8329,0.0277,0.3782,1,1,1,5
10,17,76280000,78200000,1920000,16,0.9266,0.5163,0.1008,0.4930,-0.5117,-0.1086,0.5231,192.0,R→L,0.8261,0.0064,0.3669,1,1,1,3
12,18,88040000,88400000,360000,4,0.9422,0.4099,0.8172,0.4006,-0.3239,-0.0353,0.3258,186.2,R→L,0.1253,0.3324,0.0290,1,0,0,0
12,19,88520000,89960000,1440000,13,0.8016,0.5308,0.1680,0.5207,-0.4240,0.0423,0.4261,174.3,R→L,0.6337,0.0158,0.3699,1,1,1,3
13,20,96680000,98000000,1320000,12,0.9375,0.5167,0.2844,0.5084,-0.7976,-0.0695,0.8006,185.0,R→L,0.6532,0.0361,0.3235,1,1,0,0
13,21,97160000,98480000,1320000,12,0.9375,0.5347,0.1227,0.4978,-0.6990,-0.1636,0.7179,193.2,R→L,0.8157,0.0494,0.4618,1,1,1,3
17,22,133040000,134600000,1560000,14,0.9125,0.5312,0.1688,0.5000,-0.5980,-0.0634,0.6014,186.1,R→L,0.7444,0.0349,0.4205,1,1,1,4
17,23,134720000,134720000,0,1,0.0023,0.3131,0.0023,0.3131,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5316,0.0563,0,0,0,0
18,24,135800000,138440000,2640000,15,0.7336,0.4639,0.0422,0.4266,-0.3148,-0.0139,0.3151,182.5,R→L,0.6924,0.0580,0.0238,1,0,0,0
19,25,145520000,145880000,360000,2,0.9867,0.4556,0.9977,0.3984,0.0152,-0.0794,0.0808,280.8,static,0.0582,0.4887,0.0264,0,0,0,0
19,27,146000000,146240000,240000,3,0.8758,0.5409,0.7984,0.5602,-0.2474,0.0742,0.2583,163.3,static,0.0797,0.3045,0.2430,0,0,0,0
19,26,146000000,147800000,1800000,16,0.9414,0.5409,0.1547,0.5356,-0.5000,0.0295,0.5009,176.6,R→L,0.7867,0.0286,0.4139,1,1,1,3
20,28,152000000,152600000,600000,5,0.9477,0.4675,0.7641,0.4569,-0.2673,-0.0096,0.2675,182.1,R→L,0.1839,0.2676,0.0285,1,0,0,0
20,29,152360000,154160000,1800000,14,0.8359,0.5602,0.0930,0.5752,-0.4357,0.0681,0.4410,171.1,R→L,0.7431,0.0614,0.2900,1,1,1,3
21,30,163760000,164600000,840000,6,0.9367,0.4639,0.7727,0.4767,-0.2116,0.0151,0.2121,175.9,R→L,0.1646,0.2737,0.0257,1,0,0,0
22,31,164840000,166400000,1560000,14,0.7242,0.5576,0.0906,0.5308,-0.4374,-0.1191,0.4533,195.2,R→L,0.6342,0.0533,0.2855,1,1,1,3
22,32,166880000,167240000,360000,3,0.9586,0.4850,0.8672,0.4758,-0.2222,-0.0316,0.2244,188.1,static,0.0919,0.3680,0.0267,0,0,0,0
22,33,167480000,169040000,1560000,14,0.7992,0.5624,0.0898,0.5770,-0.6173,0.0310,0.6181,177.1,R→L,0.7095,0.0664,0.2542,1,1,0,0
22,34,167480000,169280000,1800000,16,0.9375,0.5347,0.1328,0.5303,-0.4998,0.0188,0.5002,177.8,R→L,0.8047,0.0637,0.3903,1,1,1,3
22,35,169760000,171320000,1560000,14,0.9344,0.5308,0.1328,0.4969,-0.6545,-0.1099,0.6637,189.5,R→L,0.8023,0.0411,0.3851,1,1,1,3
22,36,170720000,172160000,1440000,13,0.6695,0.5207,0.1078,0.5097,-0.4488,-0.0044,0.4488,180.6,R→L,0.5618,0.0174,0.2775,1,1,0,0
23,37,174320000,174680000,360000,4,0.9852,0.4591,0.8813,0.4591,-0.2417,-0.0060,0.2418,181.4,R→L,0.1039,0.3834,0.0290,1,0,0,0
23,38,174800000,176240000,1440000,13,0.8320,0.5624,0.1117,0.5515,-0.5652,-0.0433,0.5669,184.4,R→L,0.7204,0.0571,0.3123,1,1,1,4
23,39,177560000,179600000,2040000,18,0.9375,0.5449,0.1648,0.5479,-0.3125,0.0168,0.3130,176.9,R→L,0.7727,0.0473,0.3969,1,1,1,5
24,40,180200000,182360000,2160000,19,0.9297,0.5224,0.0977,0.5207,-0.5798,0.0567,0.5825,174.4,R→L,0.8320,0.0261,0.3658,1,1,1,3
24,41,184880000,186440000,1560000,10,0.9211,0.4046,0.5477,0.4147,-0.1294,0.0327,0.1334,165.8,R→L,0.3736,0.0977,0.0274,1,0,0,0
24,42,185960000,187760000,1800000,10,0.5984,0.4916,0.0867,0.5167,-0.4683,0.0114,0.4684,178.6,R→L,0.5123,0.0227,0.3019,1,1,0,0
24,43,186680000,188240000,1560000,11,0.6062,0.5264,0.0836,0.5040,-0.3493,-0.0252,0.3502,184.1,R→L,0.5231,0.0387,0.2462,1,0,0,0
25,44,186920000,190040000,3120000,25,0.9516,0.5268,0.0836,0.4763,-0.3084,-0.0954,0.3228,197.2,R→L,0.8694,0.0243,0.2829,1,1,0,0
25,45,187160000,187160000,0,1,0.4852,0.4464,0.4852,0.4464,0.0000,0.0000,0.0000,0.0,static,0.0000,0.0557,0.0273,0,0,0,0
25,46,187160000,187160000,0,1,0.3539,0.4028,0.3539,0.4028,0.0000,0.0000,0.0000,0.0,static,0.0000,0.1755,0.0299,0,0,0,0
25,47,187160000,187160000,0,1,0.9703,0.4450,0.9703,0.4450,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4735,0.0299,0,0,0,0
25,48,187880000,187880000,0,1,0.2102,0.3949,0.2102,0.3949,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3083,0.0299,0,0,0,0
25,49,187880000,187880000,0,1,0.7766,0.4125,0.7766,0.4125,0.0000,0.0000,0.0000,0.0,static,0.0000,0.2901,0.0299,0,0,0,0
25,50,188240000,190040000,1800000,16,0.9586,0.5229,0.7055,0.5189,-0.1369,-0.0391,0.1424,195.9,R→L,0.2532,0.2063,0.1757,1,0,0,0
25,51,190280000,191600000,1320000,8,0.6461,0.4415,0.3125,0.4336,-0.2643,-0.0214,0.2652,184.6,R→L,0.3337,0.0254,0.0262,1,0,0,0
25,52,191360000,192560000,1200000,10,0.3945,0.5290,0.0547,0.5563,-0.2362,0.1005,0.2567,156.9,R→L,0.3409,0.1094,0.2704,1,1,0,0
26,53,199760000,200360000,600000,3,0.9750,0.4147,0.8398,0.4828,-0.1717,0.0760,0.1878,156.1,R→L,0.1514,0.3403,0.0296,1,0,0,0
26,54,200000000,202040000,2040000,17,0.9195,0.5536,0.1266,0.5515,-0.5842,-0.0465,0.5860,184.6,R→L,0.7930,0.1037,0.3490,1,1,1,3
26,55,200840000,202760000,1920000,17,0.9516,0.5998,0.1156,0.5101,-0.5094,-0.0210,0.5099,182.4,R→L,0.8407,0.0650,0.3243,1,1,1,3
27,56,204920000,206960000,2040000,18,0.9195,0.5224,0.1609,0.4912,-0.6332,-0.1365,0.6477,192.2,R→L,0.7592,0.0168,0.4567,1,1,1,4
28,57,211880000,213920000,2040000,18,0.9445,0.5369,0.1047,0.4855,-0.5058,-0.1435,0.5257,195.8,R→L,0.8414,0.0038,0.4762,1,1,1,3
28,58,214880000,215480000,600000,4,0.9797,0.4182,0.8477,0.4288,-0.2189,0.0055,0.2190,178.6,R→L,0.1325,0.3549,0.0279,1,0,0,0
28,59,215360000,218000000,2640000,22,0.8945,0.5163,0.0437,0.5202,-0.4037,-0.0643,0.4088,189.0,R→L,0.8508,0.0346,0.3360,1,1,1,3
28,60,215600000,219560000,3960000,34,0.9359,0.5207,0.0477,0.5189,-0.2248,0.0032,0.2248,179.2,R→L,0.8883,0.0142,0.1917,1,0,0,0
28,61,216440000,220040000,3600000,31,0.9617,0.5251,0.0648,0.4802,-0.2827,-0.1065,0.3021,200.6,R→L,0.8980,0.0111,0.2805,1,1,0,0
29,62,217520000,220880000,3360000,27,0.9211,0.5119,0.0406,0.5290,-0.3112,-0.0405,0.3138,187.4,R→L,0.8806,0.0283,0.1709,1,0,0,0
29,63,219080000,220040000,960000,9,0.5289,0.5167,0.2617,0.5251,-0.2735,0.0164,0.2740,176.6,R→L,0.2673,0.0334,0.1554,1,0,0,0
29,64,219920000,222680000,2760000,24,0.9555,0.4811,0.0938,0.5123,-0.4324,-0.0481,0.4351,186.3,R→L,0.8623,0.0165,0.3381,1,1,1,3
29,65,221120000,222680000,1560000,13,0.9656,0.5233,0.6914,0.5356,-0.2112,-0.0120,0.2115,183.3,R→L,0.2745,0.1947,0.1916,1,0,0,0
29,66,222560000,222680000,120000,2,0.9555,0.5497,0.9406,0.5493,-0.0618,-0.0018,0.0619,181.7,static,0.0149,0.4434,0.2212,0,0,0,0
29,67,222680000,222680000,0,1,0.2547,0.5708,0.2547,0.5708,0.0000,0.0000,0.0000,0.0,static,0.0000,0.2553,0.0545,0,0,0,0
29,68,222800000,224120000,1320000,8,0.9578,0.4771,0.8062,0.5180,-0.0958,-0.0629,0.1146,213.3,R→L,0.1570,0.3068,0.0289,1,0,0,0
29,69,223040000,224120000,1080000,6,0.6187,0.5532,0.3711,0.4943,-0.2142,-0.0900,0.2324,202.8,R→L,0.2546,0.0736,0.0290,1,0,0,0
29,72,223520000,223520000,0,1,0.3586,0.7084,0.3586,0.7084,0.0000,0.0000,0.0000,0.0,static,0.0000,0.2519,0.0466,0,0,0,0
29,71,223520000,224960000,1440000,9,0.5180,0.6645,0.0758,0.6139,-0.4148,-0.0152,0.4151,182.1,R→L,0.4451,0.1365,0.3065,1,1,1,3
29,70,223520000,226160000,2640000,19,0.8836,0.6807,0.0906,0.5264,-0.4250,-0.0533,0.4283,187.1,R→L,0.8079,0.0502,0.3154,1,1,1,3
31,73,234680000,235160000,480000,2,0.2453,0.5954,0.1703,0.6223,-0.0781,0.0279,0.0830,160.3,static,0.0797,0.2720,0.0172,0,0,0,0
31,74,237200000,239360000,2160000,12,0.9711,0.4525,0.4727,0.4310,-0.2142,0.0123,0.2145,176.7,R→L,0.4989,0.0743,0.0277,1,0,0,0
31,76,239120000,239240000,120000,2,0.3953,0.5624,0.3914,0.5567,-0.0163,-0.0238,0.0288,235.7,static,0.0069,0.1219,0.1183,0,0,0,0
31,75,239120000,240440000,1320000,11,0.5398,0.5369,0.0938,0.5418,-0.3408,-0.0440,0.3436,187.4,R→L,0.4461,0.0464,0.3403,1,1,1,3
32,77,240440000,240440000,0,1,0.9516,0.5352,0.9516,0.5352,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4529,0.1979,0,0,0,0
32,78,240680000,240680000,0,1,0.0461,0.5110,0.0461,0.5110,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4540,0.0211,0,0,0,0
32,79,240800000,242000000,1200000,9,0.9187,0.4604,0.5875,0.4477,-0.1366,0.0053,0.1367,177.8,R→L,0.3315,0.1020,0.0279,1,0,0,0
32,80,242120000,243800000,1680000,14,0.5727,0.5391,0.1008,0.5998,-0.4619,0.1034,0.4733,167.4,R→L,0.4758,0.0361,0.3011,1,1,1,3
32,81,242360000,243800000,1440000,7,0.9688,0.5352,0.8984,0.6104,-0.1610,0.1612,0.2278,135.0,toward,0.1029,0.4134,0.1557,1,0,0,0
