# run4mins.mp4 · boxes in the other files are normalised on an upright detect bitmap of detectW×detectH
chunk,video,sourceOffsetUs,recordedAtEpochMs,framesSampled,sampleIntervalMs,detectW,detectH,rotationDeg
1,import_001.mp4,80000,1788232757125,72,120,640,1137,90
2,import_002.mp4,8720000,1788232757736,72,120,640,1137,90
3,import_003.mp4,17360000,1788232758340,68,120,640,1137,90
4,import_004.mp4,25520000,1788232758947,64,120,640,1137,90
5,import_005.mp4,33200000,1788232759600,64,120,640,1137,90
6,import_006.mp4,40880000,1788232760254,68,120,640,1137,90
7,import_007.mp4,49040000,1788232760878,64,120,640,1137,90
8,import_008.mp4,56720000,1788232761457,68,120,640,1137,90
9,import_009.mp4,64880000,1788232763050,64,120,640,1137,90
10,import_010.mp4,72560000,1788232766327,64,120,640,1137,90
11,import_011.mp4,80240000,1788232771113,64,120,640,1137,90
12,import_012.mp4,87920000,1788232774307,64,120,640,1137,90
13,import_013.mp4,95600000,1788232779920,64,120,640,1137,90
14,import_014.mp4,103280000,1788232783437,64,120,640,1137,90
15,import_015.mp4,110960000,1788232787794,68,120,640,1137,90
16,import_016.mp4,119120000,1788232792324,68,120,640,1137,90
17,import_017.mp4,127280000,1788232797115,64,120,640,1137,90
18,import_018.mp4,134960000,1788232801657,64,120,640,1137,90
19,import_019.mp4,142640000,1788232804916,60,120,640,1137,90
20,import_020.mp4,149840000,1788232809455,60,120,640,1137,90
21,import_021.mp4,157040000,1788232813515,64,120,640,1137,90
22,import_022.mp4,164720000,1788232817010,60,120,640,1137,90
23,import_023.mp4,171920000,1788232820781,64,120,640,1137,90
24,import_024.mp4,179600000,1788232824534,60,120,640,1137,90
25,import_025.mp4,186800000,1788232829049,60,120,640,1137,90
26,import_026.mp4,194000000,1788232832585,64,120,640,1137,90
27,import_027.mp4,201680000,1788232836907,64,120,640,1137,90
28,import_028.mp4,209360000,1788232840978,64,120,640,1137,90
29,import_029.mp4,217040000,1788232844581,60,120,640,1137,90
30,import_030.mp4,224240000,1788232850686,64,120,640,1137,90
31,import_031.mp4,231920000,1788232856565,64,120,640,1137,90
32,import_032.mp4,239600000,1788232861094,60,120,640,1137,90
33,import_033.mp4,246800000,1788232866171,64,120,640,1137,90
34,import_034.mp4,254480000,1788232871046,64,120,640,1137,90
35,import_035.mp4,262160000,1788232876390,64,120,640,1137,90
36,import_036.mp4,269840000,1788232881975,33,120,640,1137,90
