# run4mins.mp4 · Face + Person · litert_npu
# passages=97 movedThrough=71 likelySubject=42 captured=35 chunks=23
# a track is one continuous sighting, not one person — bystanders are tracked, chunk boundaries split a subject in two, and there is no re-identification
chunk,track,firstUs,lastUs,durationUs,frames,firstX,firstY,lastX,lastY,velX,velY,speed,directionDeg,direction,displacement,closestToCentre,meanHeight,movedThrough,likelySubject,captured,photos
3,1,5280000,6360000,1080000,7,0.8273,0.4274,0.5313,0.4099,-0.2584,-0.0098,0.2586,182.2,R→L,0.2966,0.0954,0.0263,1,0,0,0
3,3,6480000,6480000,0,1,0.9664,0.5207,0.9664,0.5207,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4669,0.1478,0,0,0,0
3,4,6480000,6480000,0,1,0.7586,0.5163,0.7586,0.5163,0.0000,0.0000,0.0000,0.0,static,0.0000,0.2591,0.1706,0,0,0,0
3,2,6480000,7680000,1200000,11,0.5063,0.5185,0.0758,0.5418,-0.6364,0.0737,0.6406,173.4,R→L,0.4311,0.0195,0.3544,1,1,1,3
5,1,240000,1320000,1080000,6,0.9414,0.4398,0.6578,0.4099,-0.3282,-0.0412,0.3308,187.2,R→L,0.2852,0.1817,0.0273,1,0,0,0
5,2,1440000,2520000,1080000,10,0.6102,0.5202,0.0867,0.5704,-0.5759,0.0169,0.5761,178.3,R→L,0.5258,0.0235,0.3428,1,1,1,3
5,3,4800000,6840000,2040000,17,0.9406,0.5062,0.0867,0.4938,-0.6136,-0.0671,0.6172,186.2,R→L,0.8540,0.0166,0.3552,1,1,1,6
5,4,5040000,5040000,0,1,0.9102,0.4125,0.9102,0.4125,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4194,0.0299,0,0,0,0
7,1,2160000,3600000,1440000,10,0.9727,0.4336,0.6297,0.3927,-0.2578,-0.0592,0.2645,192.9,R→L,0.3454,0.1683,0.0268,1,0,0,0
7,2,3240000,4800000,1560000,11,0.7437,0.5150,0.1297,0.5136,-0.4494,0.0389,0.4511,175.1,R→L,0.6141,0.0065,0.3439,1,1,1,3
8,1,6240000,6720000,480000,4,0.9750,0.4217,0.7977,0.4055,-0.3369,-0.0339,0.3386,185.7,R→L,0.1781,0.3123,0.0295,1,0,0,0
8,2,6600000,7920000,1320000,11,0.8477,0.5264,0.1375,0.4872,-0.7079,-0.1234,0.7186,189.9,R→L,0.7112,0.0104,0.3395,1,1,1,3
8,3,8040000,8040000,0,1,-0.0117,0.3412,-0.0117,0.3412,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5358,0.0563,0,0,0,0
9,1,5760000,7560000,1800000,16,0.9445,0.5290,0.1969,0.5145,-0.4298,-0.0541,0.4331,187.2,R→L,0.7478,0.0277,0.3688,1,1,1,5
10,1,0,0,0,1,0.1117,0.5418,0.1117,0.5418,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3905,0.5277,0,0,0,0
10,2,3720000,5640000,1920000,16,0.9266,0.5163,0.1008,0.4930,-0.5117,-0.1086,0.5231,192.0,R→L,0.8261,0.0064,0.3669,1,1,1,3
12,1,120000,480000,360000,4,0.9422,0.4099,0.8172,0.4006,-0.3239,-0.0353,0.3258,186.2,R→L,0.1253,0.3324,0.0290,1,0,0,0
12,2,600000,2040000,1440000,13,0.8016,0.5308,0.1680,0.5207,-0.4240,0.0423,0.4261,174.3,R→L,0.6337,0.0158,0.3699,1,1,1,3
13,1,1080000,2400000,1320000,12,0.9375,0.5167,0.2844,0.5084,-0.7976,-0.0695,0.8006,185.0,R→L,0.6532,0.0361,0.3235,1,1,0,0
13,2,1560000,2880000,1320000,12,0.9375,0.5347,0.1227,0.4978,-0.6990,-0.1636,0.7179,193.2,R→L,0.8157,0.0494,0.4618,1,1,1,3
17,1,5760000,7320000,1560000,14,0.9125,0.5312,0.1688,0.5000,-0.5980,-0.0634,0.6014,186.1,R→L,0.7444,0.0349,0.4205,1,1,1,4
17,2,7440000,7440000,0,1,0.0023,0.3131,0.0023,0.3131,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5316,0.0563,0,0,0,0
19,1,2880000,3240000,360000,2,0.9867,0.4556,0.9977,0.3984,0.0152,-0.0794,0.0808,280.8,static,0.0582,0.4887,0.0264,0,0,0,0
19,3,3360000,3600000,240000,3,0.8758,0.5409,0.7984,0.5602,-0.2474,0.0742,0.2583,163.3,static,0.0797,0.3045,0.2430,0,0,0,0
19,2,3360000,5160000,1800000,16,0.9414,0.5409,0.1547,0.5356,-0.5000,0.0295,0.5009,176.6,R→L,0.7867,0.0286,0.4139,1,1,1,3
20,1,2160000,2760000,600000,5,0.9477,0.4675,0.7641,0.4569,-0.2673,-0.0096,0.2675,182.1,R→L,0.1839,0.2676,0.0285,1,0,0,0
20,2,2520000,4320000,1800000,14,0.8359,0.5602,0.0930,0.5752,-0.4357,0.0681,0.4410,171.1,R→L,0.7431,0.0614,0.2900,1,1,1,3
22,1,120000,1680000,1560000,14,0.7242,0.5576,0.0906,0.5308,-0.4374,-0.1191,0.4533,195.2,R→L,0.6342,0.0533,0.2855,1,1,1,3
22,2,2160000,2520000,360000,3,0.9586,0.4850,0.8672,0.4758,-0.2222,-0.0316,0.2244,188.1,static,0.0919,0.3680,0.0267,0,0,0,0
22,3,2760000,4320000,1560000,14,0.7992,0.5624,0.0898,0.5770,-0.6173,0.0310,0.6181,177.1,R→L,0.7095,0.0664,0.2542,1,1,0,0
22,4,2760000,4560000,1800000,16,0.9375,0.5347,0.1328,0.5303,-0.4998,0.0188,0.5002,177.8,R→L,0.8047,0.0637,0.3903,1,1,1,3
22,5,5040000,6600000,1560000,14,0.9344,0.5308,0.1328,0.4969,-0.6545,-0.1099,0.6637,189.5,R→L,0.8023,0.0411,0.3851,1,1,1,3
22,6,6000000,7080000,1080000,10,0.6695,0.5207,0.2664,0.5084,-0.4198,-0.0497,0.4228,186.8,R→L,0.4033,0.0174,0.2692,1,1,0,0
23,1,0,240000,240000,3,0.2438,0.5084,0.1078,0.5097,-0.3727,0.0018,0.3727,179.7,R→L,0.1359,0.2564,0.3052,1,1,0,0
23,2,2400000,2760000,360000,4,0.9852,0.4591,0.8813,0.4591,-0.2417,-0.0060,0.2418,181.4,R→L,0.1039,0.3834,0.0290,1,0,0,0
23,3,2880000,4320000,1440000,13,0.8320,0.5624,0.1117,0.5515,-0.5652,-0.0433,0.5669,184.4,R→L,0.7204,0.0571,0.3123,1,1,1,4
23,4,5640000,7560000,1920000,17,0.9375,0.5449,0.1867,0.5519,-0.4428,0.0666,0.4477,171.4,R→L,0.7508,0.0473,0.3912,1,1,1,5
24,1,0,0,0,1,0.1648,0.5479,0.1648,0.5479,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3386,0.4925,0,0,0,0
24,2,600000,2760000,2160000,19,0.9297,0.5224,0.0977,0.5207,-0.5798,0.0567,0.5825,174.4,R→L,0.8320,0.0261,0.3658,1,1,1,3
24,3,5280000,6840000,1560000,10,0.9211,0.4046,0.5477,0.4147,-0.1294,0.0327,0.1334,165.8,R→L,0.3736,0.0977,0.0274,1,0,0,0
24,4,6360000,7080000,720000,3,0.5984,0.4916,0.5094,0.5207,-0.1396,0.0286,0.1425,168.4,static,0.0937,0.0227,0.2691,0,0,0,0
24,5,7080000,7080000,0,1,0.6062,0.5264,0.6062,0.5264,0.0000,0.0000,0.0000,0.0,static,0.0000,0.1095,0.2208,0,0,0,0
26,1,5760000,6360000,600000,3,0.9750,0.4147,0.8398,0.4828,-0.1717,0.0760,0.1878,156.1,R→L,0.1514,0.3403,0.0296,1,0,0,0
26,2,6000000,7560000,1560000,13,0.9195,0.5536,0.4063,0.5792,-0.4597,-0.0990,0.4702,192.1,R→L,0.5139,0.1037,0.3239,1,1,1,3
26,3,6840000,7560000,720000,7,0.9516,0.5998,0.7211,0.5959,-0.3748,-0.0757,0.3823,191.4,R→L,0.2305,0.2410,0.2794,1,1,0,0
27,1,0,360000,360000,4,0.3883,0.5809,0.1266,0.5515,-0.5461,-0.0412,0.5476,184.3,R→L,0.2634,0.1379,0.4305,1,1,1,2
27,2,0,1080000,1080000,10,0.6875,0.5972,0.1156,0.5101,-0.5088,-0.0209,0.5092,182.4,R→L,0.5785,0.0650,0.3558,1,1,1,3
27,3,3240000,5280000,2040000,18,0.9195,0.5224,0.1609,0.4912,-0.6332,-0.1365,0.6477,192.2,R→L,0.7592,0.0168,0.4567,1,1,1,4
28,1,2520000,4560000,2040000,18,0.9445,0.5369,0.1047,0.4855,-0.5058,-0.1435,0.5257,195.8,R→L,0.8414,0.0038,0.4762,1,1,1,3
28,2,5520000,6120000,600000,4,0.9797,0.4182,0.8477,0.4288,-0.2189,0.0055,0.2190,178.6,R→L,0.1325,0.3549,0.0279,1,0,0,0
28,3,6000000,7560000,1560000,13,0.8945,0.5163,0.4719,0.5202,-0.3620,-0.0402,0.3642,186.3,R→L,0.4227,0.0346,0.3011,1,1,1,1
28,4,6240000,7560000,1320000,12,0.9359,0.5207,0.7500,0.5246,-0.1602,-0.0165,0.1610,185.9,R→L,0.1860,0.2512,0.1637,1,0,0,0
28,5,7080000,7560000,480000,5,0.9617,0.5251,0.9227,0.5141,-0.0928,-0.0039,0.0929,182.4,static,0.0406,0.4229,0.2090,0,0,0,0
29,1,0,960000,960000,9,0.4508,0.5106,0.0437,0.5202,-0.4027,-0.0640,0.4077,189.0,R→L,0.4071,0.0503,0.3865,1,1,1,3
29,3,0,2520000,2520000,22,0.7398,0.5308,0.0477,0.5189,-0.2248,0.0032,0.2248,179.2,R→L,0.6923,0.0142,0.2069,1,0,0,0
29,2,0,3000000,3000000,26,0.9195,0.5079,0.0648,0.4802,-0.2827,-0.1065,0.3021,200.6,R→L,0.8551,0.0111,0.2943,1,1,0,0
29,4,480000,3840000,3360000,27,0.9211,0.5119,0.0406,0.5290,-0.3112,-0.0405,0.3138,187.4,R→L,0.8806,0.0283,0.1709,1,0,0,0
29,5,2040000,3000000,960000,9,0.5289,0.5167,0.2617,0.5251,-0.2735,0.0164,0.2740,176.6,R→L,0.2673,0.0334,0.1554,1,0,0,0
29,6,2880000,5640000,2760000,24,0.9555,0.4811,0.0938,0.5123,-0.4324,-0.0481,0.4351,186.3,R→L,0.8623,0.0165,0.3381,1,1,1,3
29,7,4080000,5640000,1560000,13,0.9656,0.5233,0.6914,0.5356,-0.2112,-0.0120,0.2115,183.3,R→L,0.2745,0.1947,0.1916,1,0,0,0
29,8,5520000,5640000,120000,2,0.9555,0.5497,0.9406,0.5493,-0.0618,-0.0018,0.0619,181.7,static,0.0149,0.4434,0.2212,0,0,0,0
29,9,5640000,5640000,0,1,0.2547,0.5708,0.2547,0.5708,0.0000,0.0000,0.0000,0.0,static,0.0000,0.2553,0.0545,0,0,0,0
29,10,5760000,7080000,1320000,8,0.9578,0.4771,0.8062,0.5180,-0.0958,-0.0629,0.1146,213.3,R→L,0.1570,0.3068,0.0289,1,0,0,0
29,11,6000000,7080000,1080000,6,0.6187,0.5532,0.3711,0.4943,-0.2142,-0.0900,0.2324,202.8,R→L,0.2546,0.0736,0.0290,1,0,0,0
29,12,6480000,6960000,480000,3,0.8836,0.6807,0.8289,0.6148,-0.0757,-0.1031,0.1279,233.7,static,0.0857,0.3484,0.2389,0,0,0,0
29,13,6480000,6960000,480000,3,0.5180,0.6645,0.4289,0.6165,-0.1310,-0.0783,0.1527,210.9,R→L,0.1011,0.1365,0.2636,1,1,1,1
