# run4mins.mp4 · Face + Person · litert_npu · minFaceScore=0.6341 (logit 0.5500)
# weights sharpness=0.4 size=0.2 centre=0.15 confidence=0.15 framing=0.1
file,chunk,ptsUs,score,scoreLogit,sharpness,subjectRatio,quality,qSharpness,qSize,qCentre,qConfidence,qFraming,track
person_c003_6840000.jpg,3,24200000,0.7231,0.9600,158.96,0.0369,0.6924,0.7098,0.3078,0.7986,0.8477,1.0000,2
person_c003_6960000.jpg,3,24320000,0.7286,0.9874,164.29,0.0361,0.6961,0.7165,0.3005,0.8083,0.8541,1.0000,2
person_c003_7200000.jpg,3,24560000,0.7393,1.0423,250.67,0.0413,0.7140,0.7941,0.3445,0.6500,0.8667,1.0000,2
person_c005_1920000.jpg,5,35120000,0.8020,1.3988,221.37,0.0413,0.7404,0.7730,0.3445,0.8083,0.9402,1.0000,8
person_c005_2040000.jpg,5,35240000,0.7063,0.8777,179.43,0.0387,0.6836,0.7341,0.3225,0.6750,0.8281,1.0000,8
person_c005_2160000.jpg,5,35360000,0.7340,1.0148,269.02,0.0413,0.7033,0.8054,0.3445,0.5547,0.8605,1.0000,8
person_c005_5880000.jpg,5,39080000,0.7393,1.0423,365.69,0.0405,0.7513,0.8491,0.3371,0.7617,0.8667,1.0000,9
person_c005_6000000.jpg,5,39200000,0.7393,1.0423,409.57,0.0405,0.7582,0.8630,0.3371,0.7704,0.8667,1.0000,9
person_c005_6120000.jpg,5,39320000,0.7176,0.9326,539.95,0.0431,0.7644,0.8926,0.3591,0.7291,0.8413,1.0000,9
person_c005_6240000.jpg,5,39440000,0.8346,1.6183,537.72,0.0457,0.7912,0.8922,0.3811,0.7423,0.9784,1.0000,9
person_c005_6360000.jpg,5,39560000,0.8346,1.6183,416.98,0.0475,0.7807,0.8651,0.3958,0.7247,0.9784,1.0000,9
person_c005_6480000.jpg,5,39680000,0.8063,1.4263,271.19,0.0501,0.7265,0.8067,0.4178,0.5234,0.9453,1.0000,9
person_c007_4200000.jpg,7,53240000,0.7599,1.1520,157.39,0.0361,0.6893,0.7077,0.3005,0.7502,0.8908,1.0000,12
person_c007_4320000.jpg,7,53360000,0.7840,1.2891,339.89,0.0369,0.7383,0.8395,0.3078,0.6875,0.9191,1.0000,12
person_c007_4440000.jpg,7,53480000,0.7231,0.9600,207.40,0.0387,0.6825,0.7614,0.3225,0.5750,0.8477,1.0000,12
person_c008_7440000.jpg,8,64160000,0.7648,1.1794,225.77,0.0387,0.7238,0.7765,0.3225,0.7617,0.8966,1.0000,14
person_c008_7560000.jpg,8,64280000,0.7497,1.0971,335.44,0.0413,0.7488,0.8377,0.3445,0.7531,0.8789,1.0000,14
person_c008_7680000.jpg,8,64400000,0.7548,1.1246,298.41,0.0449,0.7182,0.8211,0.3738,0.5484,0.8849,1.0000,14
person_c009_6960000.jpg,9,71840000,0.8346,1.6183,370.14,0.0501,0.7831,0.8506,0.4178,0.7502,0.9784,1.0000,16
person_c009_7080000.jpg,9,71960000,0.8229,1.5360,551.82,0.0501,0.7976,0.8946,0.4178,0.7432,0.9647,1.0000,16
person_c009_7200000.jpg,9,72080000,0.8063,1.4263,443.06,0.0528,0.7901,0.8721,0.4398,0.7437,0.9453,1.0000,16
person_c009_7320000.jpg,9,72200000,0.8456,1.7005,339.96,0.0528,0.7573,0.8395,0.4398,0.5656,0.9913,1.0000,16
person_c009_7440000.jpg,9,72320000,0.7793,1.2617,234.26,0.0572,0.6468,0.7828,0.4764,0.3734,0.9136,0.4531,16
person_c010_5040000.jpg,10,77600000,0.8346,1.6183,245.71,0.0501,0.7581,0.7908,0.4178,0.7432,0.9784,1.0000,17
person_c010_5160000.jpg,10,77720000,0.8147,1.4811,371.27,0.0475,0.7697,0.8510,0.3958,0.7125,0.9551,1.0000,17
person_c010_5280000.jpg,10,77840000,0.7931,1.3440,473.76,0.0501,0.7629,0.8794,0.4178,0.5875,0.9298,1.0000,17
person_c012_1560000.jpg,12,89480000,0.7393,1.0423,321.40,0.0431,0.7463,0.8318,0.3591,0.7449,0.8667,1.0000,19
person_c012_1680000.jpg,12,89600000,0.7886,1.3166,474.08,0.0457,0.7585,0.8794,0.3811,0.6125,0.9245,1.0000,19
person_c012_1800000.jpg,12,89720000,0.8106,1.4537,712.91,0.0475,0.7309,0.9164,0.3958,0.4406,0.9503,0.7656,19
person_c013_2040000.jpg,13,97640000,0.7793,1.2617,287.56,0.0545,0.6990,0.8156,0.4544,0.4969,0.9136,0.7031,21
person_c013_2160000.jpg,13,97760000,0.8456,1.7005,177.03,0.0528,0.7312,0.7314,0.4398,0.6797,0.9913,1.0000,21
person_c013_2280000.jpg,13,97880000,0.8106,1.4537,108.90,0.0563,0.6934,0.6262,0.4691,0.7106,0.9503,1.0000,21
person_c017_6600000.jpg,17,133880000,0.8020,1.3988,371.54,0.0501,0.7723,0.8511,0.4178,0.7150,0.9402,1.0000,22
person_c017_6720000.jpg,17,134000000,0.8383,1.6457,446.83,0.0528,0.7891,0.8730,0.4398,0.6966,0.9828,1.0000,22
person_c017_6840000.jpg,17,134120000,0.8420,1.6731,210.43,0.0545,0.7530,0.7640,0.4544,0.7230,0.9871,1.0000,22
person_c017_7200000.jpg,17,134480000,0.8268,1.5634,87.64,0.0589,0.5664,0.5742,0.4911,0.3500,0.9693,0.4062,22
person_c019_4200000.jpg,19,146840000,0.8346,1.6183,218.56,0.0457,0.7339,0.7708,0.3811,0.6844,0.9784,1.0000,26
person_c019_4320000.jpg,19,146960000,0.7840,1.2891,356.40,0.0501,0.7701,0.8458,0.4178,0.7361,0.9191,1.0000,26
person_c019_4440000.jpg,19,147080000,0.8020,1.3988,269.92,0.0475,0.7534,0.8059,0.3958,0.7388,0.9402,1.0000,26
person_c020_3600000.jpg,20,153440000,0.7886,1.3166,181.52,0.0405,0.7281,0.7363,0.3371,0.8500,0.9245,1.0000,29
person_c020_3840000.jpg,20,153680000,0.7886,1.3166,228.05,0.0413,0.7138,0.7782,0.3445,0.6328,0.9245,1.0000,29
person_c020_3960000.jpg,20,153800000,0.8020,1.3988,411.27,0.0457,0.7379,0.8635,0.3811,0.5328,0.9402,0.9531,29
person_c022_960000.jpg,22,165680000,0.8020,1.3988,76.88,0.0405,0.6433,0.5419,0.3371,0.7875,0.9402,1.0000,31
person_c022_1080000.jpg,22,165800000,0.8063,1.4263,83.64,0.0413,0.6356,0.5627,0.3445,0.6656,0.9453,1.0000,31
person_c022_1320000.jpg,22,166040000,0.7840,1.2891,204.09,0.0431,0.6855,0.7584,0.3591,0.4828,0.9191,1.0000,31
person_c022_3600000.jpg,22,168320000,0.8307,1.5908,314.94,0.0457,0.7528,0.8289,0.3811,0.6594,0.9739,1.0000,34
person_c022_3720000.jpg,22,168440000,0.7746,1.2343,214.68,0.0431,0.7279,0.7676,0.3591,0.7520,0.9080,1.0000,34
person_c022_3840000.jpg,22,168560000,0.8147,1.4811,227.21,0.0457,0.7416,0.7776,0.3811,0.7405,0.9551,1.0000,34
person_c022_6000000.jpg,22,170720000,0.8268,1.5634,616.28,0.0457,0.7967,0.9046,0.3811,0.7546,0.9693,1.0000,35
person_c022_6120000.jpg,22,170840000,0.7931,1.3440,722.96,0.0484,0.7946,0.9175,0.4031,0.7168,0.9298,1.0000,35
person_c022_6240000.jpg,22,170960000,0.8106,1.4537,477.34,0.0475,0.7774,0.8802,0.3958,0.6913,0.9503,1.0000,35
person_c023_3840000.jpg,23,175760000,0.7445,1.0697,315.15,0.0387,0.7407,0.8290,0.3225,0.7578,0.8728,1.0000,38
person_c023_3960000.jpg,23,175880000,0.7746,1.2343,643.73,0.0449,0.7711,0.9083,0.3738,0.6453,0.9080,1.0000,38
person_c023_4080000.jpg,23,176000000,0.7931,1.3440,428.89,0.0484,0.7443,0.8684,0.4031,0.5125,0.9298,1.0000,38
person_c023_4200000.jpg,23,176120000,0.8063,1.4263,169.22,0.0501,0.6076,0.7225,0.4178,0.3406,0.9453,0.4219,38
person_c023_6720000.jpg,23,178640000,0.8063,1.4263,356.12,0.0475,0.7766,0.8456,0.3958,0.7828,0.9453,1.0000,39
person_c023_6840000.jpg,23,178760000,0.8268,1.5634,320.00,0.0475,0.7723,0.8312,0.3958,0.7687,0.9693,1.0000,39
person_c023_7080000.jpg,23,179000000,0.8188,1.5085,306.34,0.0545,0.7759,0.8250,0.4544,0.7405,0.9600,1.0000,39
person_c023_7200000.jpg,23,179120000,0.7976,1.3714,238.15,0.0519,0.7495,0.7856,0.4324,0.7234,0.9351,1.0000,39
person_c023_7320000.jpg,23,179240000,0.7599,1.1520,183.65,0.0572,0.7111,0.7386,0.4764,0.5781,0.8908,1.0000,39
person_c024_2160000.jpg,24,181760000,0.8147,1.4811,228.02,0.0545,0.7531,0.7782,0.4544,0.7177,0.9551,1.0000,40
person_c024_2280000.jpg,24,181880000,0.7976,1.3714,284.34,0.0519,0.7561,0.8139,0.4324,0.6922,0.9351,1.0000,40
person_c024_2400000.jpg,24,182000000,0.8063,1.4263,312.67,0.0572,0.7557,0.8279,0.4764,0.5828,0.9453,1.0000,40
person_c026_7560000.jpg,26,201560000,0.7746,1.2343,308.70,0.0431,0.7545,0.8261,0.3591,0.7734,0.9080,1.0000,54
