# 2026-asicsmeta-full-1.mp4 · boxes in the other files are normalised on an upright detect bitmap of detectW×detectH
chunk,video,sourceOffsetUs,recordedAtEpochMs,framesSampled,sampleIntervalMs,detectW,detectH,rotationDeg
1,import_001.mp4,599033588,1788250310632,83,120,640,360,0
2,import_002.mp4,610033911,1788250313575,83,120,640,360,0
3,import_003.mp4,621034233,1788250317112,83,120,640,360,0
4,import_004.mp4,632034566,1788250319514,83,120,640,360,0
5,import_005.mp4,643034888,1788250321886,83,120,640,360,0
6,import_006.mp4,654035211,1788250324601,83,120,640,360,0
7,import_007.mp4,665035533,1788250327269,83,120,640,360,0
8,import_008.mp4,676035866,1788250330604,83,120,640,360,0
9,import_009.mp4,687036188,1788250333047,83,120,640,360,0
10,import_010.mp4,698036511,1788250336747,83,120,640,360,0
11,import_011.mp4,709036833,1788250339772,83,120,640,360,0
12,import_012.mp4,720037166,1788250342912,83,120,640,360,0
13,import_013.mp4,731037488,1788250345317,83,120,640,360,0
14,import_014.mp4,742037811,1788250348505,83,120,640,360,0
15,import_015.mp4,753038133,1788250350825,83,120,640,360,0
16,import_016.mp4,764038466,1788250353901,83,120,640,360,0
17,import_017.mp4,775038788,1788250357292,83,120,640,360,0
18,import_018.mp4,786039111,1788250359138,83,120,640,360,0
19,import_019.mp4,797039433,1788250361798,83,120,640,360,0
20,import_020.mp4,808039766,1788250364815,83,120,640,360,0
21,import_021.mp4,819040088,1788250367465,83,120,640,360,0
22,import_022.mp4,830040411,1788250369926,75,120,640,360,0
