# 2026-asicsmeta-full-1.mp4 · Face + Person · litert_npu · minFaceScore=0.6341 (logit 0.5500)
# weights sharpness=0.4 size=0.2 centre=0.15 confidence=0.15 framing=0.1
file,chunk,ptsUs,score,scoreLogit,sharpness,subjectRatio,quality,qSharpness,qSize,qCentre,qConfidence,qFraming,track
person_c001_6000111.jpg,1,605033699,0.6711,0.7131,116.93,0.0667,0.5429,0.6427,0.5556,0.1556,0.7867,0.3333,6
person_c002_8000222.jpg,2,618034133,0.6650,0.6857,178.83,0.0722,0.6578,0.7334,0.6019,0.2547,0.7796,0.8889,31
person_c002_8133555.jpg,2,618167466,0.6527,0.6308,139.10,0.0833,0.5988,0.6815,0.6944,0.2056,0.7652,0.4167,31
person_c002_8266888.jpg,2,618300799,0.6711,0.7131,203.79,0.0972,0.6596,0.7582,0.8102,0.2306,0.7867,0.4167,31
person_c003_6533444.jpg,3,627567677,0.6401,0.5760,89.31,0.0500,0.5732,0.5788,0.4167,0.3056,0.7505,1.0000,52
person_c003_7333555.jpg,3,628367788,0.7063,0.8777,225.48,0.0972,0.6635,0.7762,0.8102,0.1861,0.8281,0.3889,52
person_c003_7200111.jpg,3,628234344,0.6831,0.7680,285.07,0.0833,0.6978,0.8143,0.6944,0.2722,0.8008,0.7222,52
person_c004_3066666.jpg,4,635101232,0.6831,0.7680,77.44,0.0444,0.4983,0.5437,0.3704,0.1889,0.8008,0.5833,55
person_c004_3866777.jpg,4,635901343,0.6711,0.7131,146.57,0.0722,0.5713,0.6928,0.6019,0.1500,0.7867,0.3333,61
person_c008_9466888.jpg,8,685502754,0.6711,0.7131,84.14,0.0694,0.5082,0.5642,0.5787,0.1583,0.7867,0.2500,106
person_c009_2400000.jpg,9,689436188,0.6401,0.5760,104.74,0.0611,0.5421,0.6171,0.5093,0.2056,0.7505,0.5000,115
person_c009_2533333.jpg,9,689569521,0.6464,0.6034,327.81,0.0722,0.6154,0.8345,0.6019,0.1500,0.7578,0.2500,115
person_c009_3866777.jpg,9,690902965,0.6831,0.7680,208.53,0.0750,0.6430,0.7624,0.6250,0.2306,0.8008,0.5833,116
person_c010_1600000.jpg,10,699636511,0.7063,0.8777,134.21,0.0917,0.6386,0.6737,0.7639,0.2806,0.8281,0.5000,125
person_c010_2800000.jpg,10,700836511,0.6527,0.6308,151.55,0.0750,0.6054,0.6998,0.6250,0.2194,0.7652,0.5278,127
person_c010_6266777.jpg,10,704303288,0.6401,0.5760,173.95,0.0556,0.5641,0.7280,0.4630,0.1556,0.7505,0.4444,130
person_c011_5733444.jpg,11,714770277,0.7648,1.1794,120.45,0.0972,0.6037,0.6495,0.8102,0.1861,0.8966,0.1944,150
person_c011_8800222.jpg,11,717837055,0.6589,0.6583,82.45,0.0500,0.4904,0.5592,0.4167,0.1722,0.7724,0.4167,163
person_c012_1200000.jpg,12,721237166,0.6948,0.8228,91.11,0.0500,0.5554,0.5836,0.4167,0.2389,0.8146,0.8056,169
person_c012_1466666.jpg,12,721503832,0.6401,0.5760,105.66,0.0556,0.5884,0.6191,0.4630,0.2556,0.7505,0.9722,169
