# 2026-asicsmeta-full-1.mp4 · Face + Person · litert_npu
# passages=396 movedThrough=69 likelySubject=71 captured=43 chunks=23
# a track is one continuous sighting, not one person — bystanders are tracked, a second lap is a second track, and there is no re-identification
# since v0.1.7: track ids are session-wide (a runner crossing a chunk boundary keeps one id), firstUs/lastUs are session time, and the old `frames` column is now `framesSeen` — read it next to framesSpan
# times are ±120ms, one sampling period; enteredMs is wall clock, from the session start
chunk,track,firstUs,lastUs,durationUs,enteredMs,framesSeen,framesSpan,framesMissed,trackedRatio,firstX,firstY,lastX,lastY,velX,velY,speed,directionDeg,direction,displacement,closestToCentre,meanHeight,meanScore,movedThrough,likelySubject,captured,photos
1,1,604100365,604100365,0,1788250905653,1,1,0,1.0000,0.8875,0.2639,0.8875,0.2639,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4538,0.3167,0.8477,0,0,0,0
1,2,604100365,604100365,0,1788250905653,1,1,0,1.0000,0.1875,0.0806,0.1875,0.0806,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5231,0.1389,0.7461,0,0,0,0
1,3,604100365,604100365,0,1788250905653,1,1,0,1.0000,0.2641,0.1083,0.2641,0.1083,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4572,0.1278,0.7461,0,0,0,0
1,4,604100365,604100365,0,1788250905653,1,1,0,1.0000,0.3445,0.1556,0.3445,0.1556,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3779,0.2056,0.7461,0,0,0,0
1,5,604100365,604100365,0,1788250905653,1,1,0,1.0000,0.0844,0.1000,0.0844,0.1000,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5768,0.1111,0.7266,0,0,0,0
1,11,604900365,604900365,0,1788250906453,1,1,0,1.0000,0.4180,0.1847,0.4180,0.1847,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3258,0.2639,0.7109,0,0,0,0
1,10,604900365,605033699,133334,1788250906453,2,2,0,1.0000,0.1867,0.0861,0.1891,0.0861,0.0088,0.0000,0.0088,0.0,static,0.0023,0.5177,0.1278,0.7188,0,0,0,0
1,6,604900365,605567032,666667,1788250906453,4,6,2,0.6667,0.7172,0.2889,0.3609,0.3778,-0.5715,0.1072,0.5815,169.4,R→L,0.3672,0.1427,0.6132,0.8926,1,1,1,1
1,7,604900365,606500476,1600111,1788250906453,8,14,6,0.5714,0.2656,0.1056,0.2703,0.1222,-0.0027,0.0096,0.0100,105.6,static,0.0173,0.4413,0.1389,0.7324,0,0,0,0
1,8,604900365,606500476,1600111,1788250906453,8,14,6,0.5714,0.3461,0.1486,0.3477,0.1556,0.0040,-0.0008,0.0041,348.2,static,0.0071,0.3735,0.2080,0.7451,0,0,0,0
1,9,604900365,606500476,1600111,1788250906453,9,14,5,0.6429,0.0906,0.1028,0.0859,0.0986,-0.0000,-0.0030,0.0030,269.7,static,0.0063,0.5704,0.1090,0.7292,0,0,0,0
1,12,605967032,606500476,533444,1788250907520,3,5,2,0.6000,0.1820,0.0889,0.1867,0.0889,0.0078,0.0000,0.0078,0.0,static,0.0047,0.5169,0.1333,0.7214,0,0,0,0
1,13,605967032,606500476,533444,1788250907520,5,5,0,1.0000,0.4195,0.1875,0.4180,0.1750,-0.0015,-0.0325,0.0326,267.4,static,0.0126,0.3227,0.2633,0.7203,0,0,0,0
1,14,606500476,606500476,0,1788250908053,1,1,0,1.0000,0.4883,0.1222,0.4883,0.1222,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3780,0.0722,0.7266,0,0,0,0
1,15,607167143,607700476,533333,1788250908720,5,5,0,1.0000,0.3461,0.1528,0.3477,0.1458,0.0073,-0.0195,0.0209,290.6,static,0.0071,0.3798,0.1967,0.7641,0,0,0,0
